split,subset_index,image_filename,label_filename
train,1,BFC(1).JPG,BFC(1).txt
train,2,BFC(2).JPG,BFC(2).txt
train,3,BFC(3).JPG,BFC(3).txt
train,4,BFC(4).JPG,BFC(4).txt
train,5,BFC(8).JPG,BFC(8).txt
train,6,BFC(11).JPG,BFC(11).txt
train,7,BFC(12).JPG,BFC(12).txt
train,8,BFC(20).JPG,BFC(20).txt
train,9,BFC(23).JPG,BFC(23).txt
train,10,BFC(24).JPG,BFC(24).txt
train,11,BFC(32).JPG,BFC(32).txt
train,12,BFC(34).JPG,BFC(34).txt
train,13,BFC(35).JPG,BFC(35).txt
train,14,BFC(36).JPG,BFC(36).txt
train,15,BFC(37).JPG,BFC(37).txt
train,16,BFC(38).JPG,BFC(38).txt
train,17,BFC(39).JPG,BFC(39).txt
train,18,BFC(40).JPG,BFC(40).txt
train,19,BFC(42).JPG,BFC(42).txt
train,20,BFC(43).JPG,BFC(43).txt
train,21,BFC(44).JPG,BFC(44).txt
train,22,BFC(45).JPG,BFC(45).txt
train,23,BFC(46).JPG,BFC(46).txt
train,24,BFC(47).JPG,BFC(47).txt
train,25,BFC(49).JPG,BFC(49).txt
train,26,BFC(50).JPG,BFC(50).txt
train,27,BFC(51).JPG,BFC(51).txt
train,28,BFC(52).JPG,BFC(52).txt
train,29,BFC(54).JPG,BFC(54).txt
train,30,BFC(55).JPG,BFC(55).txt
train,31,BFC(56).JPG,BFC(56).txt
train,32,BFC(57).JPG,BFC(57).txt
train,33,BFC(58).JPG,BFC(58).txt
train,34,BFC(59).JPG,BFC(59).txt
train,35,BFC(79).JPG,BFC(79).txt
train,36,BFC(80).JPG,BFC(80).txt
train,37,BFC(83).JPG,BFC(83).txt
train,38,BFC(84).JPG,BFC(84).txt
train,39,BFC(88).JPG,BFC(88).txt
train,40,BFC(89).JPG,BFC(89).txt
train,41,BFC(90).JPG,BFC(90).txt
train,42,BFC(91).JPG,BFC(91).txt
train,43,BFC(102).JPG,BFC(102).txt
train,44,BFC(103).JPG,BFC(103).txt
train,45,BFC(111).JPG,BFC(111).txt
train,46,BFC(112).JPG,BFC(112).txt
train,47,BFC(114).JPG,BFC(114).txt
train,48,BFC(131).JPG,BFC(131).txt
train,49,BFC(132).JPG,BFC(132).txt
train,50,BFC(139).JPG,BFC(139).txt
train,51,BFC(140).JPG,BFC(140).txt
train,52,BFC(168).JPG,BFC(168).txt
train,53,BFC(170).JPG,BFC(170).txt
train,54,BFC(177).JPG,BFC(177).txt
train,55,BFC(178).JPG,BFC(178).txt
train,56,BFC(181).JPG,BFC(181).txt
train,57,BFC(190).JPG,BFC(190).txt
train,58,BFC(192).JPG,BFC(192).txt
train,59,BFC(193).JPG,BFC(193).txt
train,60,BFC(202).JPG,BFC(202).txt
train,61,BFC(203).JPG,BFC(203).txt
train,62,BFC(230).JPG,BFC(230).txt
train,63,BFC(243).JPG,BFC(243).txt
train,64,BFC(252).JPG,BFC(252).txt
train,65,BFC(253).JPG,BFC(253).txt
train,66,BFC(254).JPG,BFC(254).txt
train,67,BFC(269).JPG,BFC(269).txt
train,68,BFC(270).JPG,BFC(270).txt
train,69,BFC(271).JPG,BFC(271).txt
train,70,BFC(272).JPG,BFC(272).txt
train,71,BFC(278).JPG,BFC(278).txt
train,72,BFC(279).JPG,BFC(279).txt
train,73,BFC(290).JPG,BFC(290).txt
train,74,BFC(291).JPG,BFC(291).txt
train,75,BFC(292).JPG,BFC(292).txt
train,76,BFC(297).JPG,BFC(297).txt
train,77,BFC(298).JPG,BFC(298).txt
train,78,BFC(299).JPG,BFC(299).txt
train,79,BFC(300).JPG,BFC(300).txt
train,80,BFC(301).JPG,BFC(301).txt
train,81,BFC(329).JPG,BFC(329).txt
train,82,BFC(330).JPG,BFC(330).txt
train,83,BFC(331).JPG,BFC(331).txt
train,84,BFC(358).JPG,BFC(358).txt
train,85,BFC(359).JPG,BFC(359).txt
train,86,BFC(371).JPG,BFC(371).txt
train,87,BFC(409).JPG,BFC(409).txt
train,88,BFC(442).JPG,BFC(442).txt
train,89,BFC(443).JPG,BFC(443).txt
train,90,BFC(444).JPG,BFC(444).txt
train,91,BFC(445).JPG,BFC(445).txt
train,92,BFC(448).JPG,BFC(448).txt
train,93,BFC(449).JPG,BFC(449).txt
train,94,BFC(450).JPG,BFC(450).txt
train,95,BFC(451).JPG,BFC(451).txt
train,96,BFC(452).JPG,BFC(452).txt
train,97,BFC(457).JPG,BFC(457).txt
train,98,BFC(458).JPG,BFC(458).txt
train,99,BFC(459).JPG,BFC(459).txt
train,100,BFC(460).JPG,BFC(460).txt
train,101,BFC(461).JPG,BFC(461).txt
train,102,BFC(462).JPG,BFC(462).txt
train,103,BFC(463).JPG,BFC(463).txt
train,104,BFC(466).JPG,BFC(466).txt
train,105,BFC(467).JPG,BFC(467).txt
train,106,BFC(469).JPG,BFC(469).txt
train,107,BFC(470).JPG,BFC(470).txt
train,108,BFC(472).JPG,BFC(472).txt
train,109,BFC(473).JPG,BFC(473).txt
train,110,BFC(475).JPG,BFC(475).txt
train,111,BFC(476).JPG,BFC(476).txt
train,112,BFC(477).JPG,BFC(477).txt
train,113,BFC(478).JPG,BFC(478).txt
train,114,BFC(479).JPG,BFC(479).txt
train,115,BFC(480).JPG,BFC(480).txt
train,116,BFC(529).JPG,BFC(529).txt
train,117,BFC(530).JPG,BFC(530).txt
train,118,BFC(531).JPG,BFC(531).txt
train,119,BFC(532).JPG,BFC(532).txt
train,120,BFC(533).JPG,BFC(533).txt
train,121,BFC(534).JPG,BFC(534).txt
train,122,BFC(535).JPG,BFC(535).txt
train,123,BFC(537).JPG,BFC(537).txt
train,124,BFC(538).JPG,BFC(538).txt
train,125,BFC(539).JPG,BFC(539).txt
train,126,BLPD(1).JPG,BLPD(1).txt
train,127,BLPD(2).JPG,BLPD(2).txt
train,128,BLPD(3).JPG,BLPD(3).txt
train,129,BLPD(19).JPG,BLPD(19).txt
train,130,BLPD(22).JPG,BLPD(22).txt
train,131,BLPD(23).JPG,BLPD(23).txt
train,132,BLPD(31).JPG,BLPD(31).txt
train,133,BLPD(104).JPG,BLPD(104).txt
train,134,BLPD(106).JPG,BLPD(106).txt
train,135,BLPD(107).JPG,BLPD(107).txt
train,136,BLPD(112).JPG,BLPD(112).txt
train,137,BLPD(113).JPG,BLPD(113).txt
train,138,BLPD(130).JPG,BLPD(130).txt
train,139,BLPD(131).JPG,BLPD(131).txt
train,140,BLPD(133).JPG,BLPD(133).txt
train,141,BLPD(134).JPG,BLPD(134).txt
train,142,BLPD(135).JPG,BLPD(135).txt
train,143,BLPD(137).JPG,BLPD(137).txt
train,144,BLPD(138).JPG,BLPD(138).txt
train,145,BLPD(140).JPG,BLPD(140).txt
train,146,BLPD(141).JPG,BLPD(141).txt
train,147,BLPD(142).JPG,BLPD(142).txt
train,148,BLPD(143).JPG,BLPD(143).txt
train,149,BLPD(162).JPG,BLPD(162).txt
train,150,BLPD(163).JPG,BLPD(163).txt
train,151,BLPD(205).JPG,BLPD(205).txt
train,152,BLPD(206).JPG,BLPD(206).txt
train,153,BLPD(207).JPG,BLPD(207).txt
train,154,BLPD(209).JPG,BLPD(209).txt
train,155,BLPD(211).JPG,BLPD(211).txt
train,156,BLPD(225).JPG,BLPD(225).txt
train,157,BLPD(227).JPG,BLPD(227).txt
train,158,BLPD(247).JPG,BLPD(247).txt
train,159,BLPD(309).JPG,BLPD(309).txt
train,160,BLPD(314).JPG,BLPD(314).txt
train,161,BLPD(315).JPG,BLPD(315).txt
train,162,BLPD(316).JPG,BLPD(316).txt
train,163,BLPD(317).JPG,BLPD(317).txt
train,164,BLPD(325).JPG,BLPD(325).txt
train,165,BLPD(326).JPG,BLPD(326).txt
